uid,等级,渠道,ip地址
1007710,1,mnwwest,"45.185.193.106, 15.158.37.16"
1007910,1,mnwwest,"45.71.131.124, 15.158.19.171"
1008410,1,mnwwest,"85.244.214.174, 64.252.170.83"
1009210,1,mnwwest,"189.60.186.136, 130.176.164.17"
1009910,1,mnwwest,"186.208.241.111, 15.158.37.40"
1010110,1,mnwwest,"189.90.234.19, 15.158.19.167"
1001411,1,mnwwest,"182.18.206.29, 130.176.93.150"
1001511,1,mnwwest,"187.19.124.119, 15.158.8.175"
1002611,1,mnwwest,"187.86.202.26, 15.158.8.149"
1003311,1,mnwwest,"93.176.131.220, 15.158.55.73"
1005311,1,mnwwest,"112.200.198.40, 130.176.187.10"
1006411,1,mnwwest,"119.94.67.145, 130.176.25.132"
1008211,1,mnwwest,"179.232.37.11, 15.158.19.146"
1008511,1,mnwwest,"128.201.51.255, 130.176.40.100"
1008711,1,mnwwest,"131.100.76.205, 130.176.164.15"
1010311,1,mnwwest,"190.122.87.6, 15.158.19.146"
1002712,1,mnwwest,"177.26.226.60, 130.176.164.150"
1007212,1,mnwwest,"206.0.99.237, 130.176.220.46"
1007912,1,mnwwest,"86.156.219.130, 70.132.38.118"
1008512,1,mnwwest,"190.124.156.148, 130.176.220.3"
1008912,1,mnwwest,"186.22.19.89, 130.176.220.37"
1009012,1,mnwwest,"199.58.103.113, 70.132.31.131"
1009212,1,mnwwest,"86.181.81.181, 130.176.222.69"
1009312,1,mnwwest,"152.117.120.222, 130.176.50.85"
1010312,1,mnwwest,"45.232.181.54, 130.176.164.150"
1011112,1,mnwwest,"143.0.71.185, 52.46.43.75"
1011212,1,mnwwest,"187.86.72.228, 15.158.37.50"
1000313,1,mnwwest,"124.104.167.210, 130.176.93.13"
1000413,1,mnwwest,"136.158.11.115, 130.176.93.86"
1000913,1,mnwwest,"49.150.246.187, 130.176.93.82"
1002313,1,mnwwest,"177.220.179.103, 130.176.164.1"
1002613,1,mnwwest,"31.4.209.19, 15.158.55.79"
1002713,1,mnwwest,"177.51.42.233, 130.176.215.22"
1003413,1,mnwwest,"67.161.109.25, 15.158.4.39"
1004113,1,mnwwest,"190.103.88.11, 130.176.220.46"
1006413,1,mnwwest,"142.197.215.203, 70.132.58.77"
1006513,1,mnwwest,"201.182.123.243, 15.158.37.16"
1008913,1,mnwwest,"177.37.45.31, 15.158.8.168"
1009213,1,mnwwest,"172.58.235.206, 15.158.35.149"
1010213,1,mnwwest,"187.190.144.223, 130.176.55.15"
1010313,1,mnwwest,"76.67.191.178, 64.252.147.152"
1000414,1,mnwwest,"177.245.150.88, 130.176.4.85"
1001714,1,mnwwest,"45.236.188.193, 15.158.8.168"
1003114,1,mnwwest,"187.244.123.140, 15.158.29.84"
1003514,1,mnwwest,"111.90.197.10, 130.176.93.161"
1005814,1,mnwwest,"92.15.170.162, 64.252.166.91"
1006014,1,mnwwest,"146.200.104.128, 130.176.222.7"
1007914,1,mnwwest,"201.131.30.138, 130.176.40.132"
1008014,1,mnwwest,"187.190.141.72, 130.176.67.89"
1008314,1,mnwwest,"110.159.94.216, 130.176.7.158"
1008414,1,mnwwest,"69.180.252.80, 130.176.210.82"
1009714,1,mnwwest,"177.227.113.122, 15.158.29.116"
1009814,1,mnwwest,"174.208.166.207, 64.252.173.10"
1000415,1,mnwwest,"45.5.198.35, 15.158.19.146"
1003915,1,mnwwest,"186.141.200.239, 130.176.220.4"
1006315,1,mnwwest,"139.47.27.39, 15.158.55.73"
1007415,1,mnwwest,"189.82.60.35, 15.158.19.133"
1007515,1,mnwwest,"66.81.177.77, 15.158.55.117"
1009515,1,mnwwest,"91.84.59.20, 130.176.222.69"
1000616,1,mnwwest,"207.148.176.192, 130.176.132.1"
1001016,1,mnwwest,"112.206.69.30, 130.176.93.82"
1003516,1,mnwwest,"89.181.190.165, 64.252.170.161"
1004516,1,mnwwest,"189.113.68.54, 15.158.37.40"
1005416,1,mnwwest,"31.4.148.130, 130.176.170.72"
1006016,1,mnwwest,"82.24.37.180, 130.176.222.70"
1006116,1,mnwwest,"109.154.50.95, 70.132.46.139"
1007416,1,mnwwest,"177.128.25.132, 130.176.164.71"
1008016,1,mnwwest,"201.150.149.153, 15.158.8.175"
1008916,1,mnwwest,"191.243.200.168, 130.176.40.13"
